,recipe_title,raw_ingre,main_ingredients,ingredients,steps,method_type,cook_time,difficult,kcal,feature,raw_ingre_sep
10,깻잎들깨볶음,"{'깻잎': '', '대파': '', '다진마늘': '1T', '국간장': '1T', '참기름': '1T', '들깨가루': '2T', '깨': ''}",채소류,조미료,"1.깻잎 을 씻어줍니다. 저는 자잘한 깻잎순으로 했지만. 그냥 큰 잎을 잘라서 해도 무방합니다.,2.끓는물에 #깻잎 을 넣고 숨이 죽으면 바로 건져 찬물에 헹궈주세요.,3.물기를 꼭 짜줍니다. 그 많던 #깻잎 이 한주먹밖에안되네요..^^,4.#깻잎 이 뭉쳐지지 않게 잘 풀어주고 양념을 넣어 줍니다. 다진마늘 1T, 국간장 1T, 참기름 1T를 넣고 조물조물 무쳐 주세요. 이렇게 무쳐서 먹어도 맛있습니다...                       ,5.파를 흰색 대부분을 썰어주고, 식용유를 1T정도 넣고 살짝만 먼저 볶아줍니다.,6.양념해 두었던 #깻잎 을 넣고 참기름 1T를 넣어주고 볶아줍니다.  너무 세지 않은 불에서 볶아주세요.,7.어느정도 볶아지면 참깨를 뿌려주고, 들깨까루를 2T정도 골고루 뿌려 한번 더 볶아줍니다.                   ,8.그럼 고소하면서 향긋한 #깻잎볶음 이 완성되요..",볶음,15분 이내,초급,,,"채소류,조미료"
11,부타동,"{'대패삼겹살': '200g', '양파': '1/2개', '달걀 노른자': '1개', '설탕': '1큰술', '간장': '1.5큰술', '맛술': '1큰술', '다진마늘': '1작은술'}",육류,"난류,조미료","1.먼저 양파는 1/2개만 썰어주세요. 부타동은 별다른 야채들이 필요없어요. 간단하게 양파만 가지고 만들 수 있어서  자취생들도간단하게 만들수 있습니다.,2.그 다음 양념장을 만들어줍니다.  간장 1.5큰술, 맛술 1큰술, 설탕 1큰술,  다진마늘 1작은술을 넣고 잘 섞어주세요.  원래 다진마늘 대신 생강을 넣어주는데요.  생강이 없어서 저는 다진마늘로 대체 했습니다.,3.그 다음 후라이팬에 대패삼겹살 200g을 넣고,  설탕 1큰술 넣고 볶아줍니다. 고기를 볶을때 설탕을 넣으시면,  소스도 더 잘베이구요. 고기의 감칠맛을 살려줍니다.,4.설탕이 다 녹으면 양파를 넣어주시구요.  그리고 소스도 같이 넣어줍니다.,5.저는 소스가 있는거 보다는 바싹 굽는게 좋더라구요.  소스가 자작하게 남아있는게 좋으신 분들은 취향에 따라 맛있게 구워주시구요.,6.고기가 다 익으면 밥위에  먹음직 스럽게 고기를 올려주세요.,7.그리고 마지막으로  가운데에 달걀 노른자 1개를 올려줍니다. 달걀의 비린맛 때문에  날달걀을 못드시는 분이라면후라이 1개 해서 올려주시구요.,8.마지막으로 파슬리 가루 뿌려주시면 맛있는 부타동 완성입니다.  생각보다 만들기 너무 간단하구요.  확실히 일본식이라 그런지  많이 자극적이지 않구요.  고기의 달콤 짭짤함과 노른자의 담백함이  어울려져서 맛있는 한끼로 손색없었습니다.",볶음,30분 이내,초급,,,"채소류,육류,난류,조미료"
12,스팸 양배추 덮밥,"{'양배추': '2주먹', '양파': '1/2개', '대파': '10센티', '스팸': '100g', '땡초': '2개', '다진마늘': '1/2T', '간장': '2T', '굴소스': '1T', '참기름': '1T', '설탕': '1/2T', '후추': '2번톡톡', '물': '5T'}","채소류,조리가공품류","채소류,조미료,기타","1.스팸200g짜리 반만 사용했어요^~^ 땡초두개,채썬양배추 두주먹,대파 10센티,양파 반개를 먹기좋게 썰어 주시구요~(애들은 땡초대신 파프리카 넣어도 맛있어요),2.후라이팬에 기름을 두르고 대파랑 마늘 반스푼 넣어서 볶아주세요~,3.그다음 스팸을 (100g)넣고 볶다가 양파반개,땡초두개넣어서 볶아 주시구요~,4.양배추 넣어서 볶아주세요^~^이때 굴소스한스푼,간장두스푼,설탕반스푼,참기름한스푼,후추2번톡톡해서 볶아주시다가,5.물을 다섯스푼정도 넣고 볶아 주시면 완성입니다^~^,6.제가 아침겸점심겸저녁으로  먼저 먹어봤는데 너무 맛있어서 우리가족님 저녁으로 해줬더니 잡채맛이 난다고 너무 맛있다고 한그릇 뚝딱 해주시네요ㅎㅎ 정말 강력추천합니다 김치하나랑 먹어도 엄지척이에요^~^♥",볶음,10분 이내,아무나,,,"채소류,조리가공품류,조미료,기타"
13,차돌박이 파스타,"{'차돌박이': '15장', '양파': '1/2개', '청량고추': '2개', '홍고추': '1개', '통마늘': '5톨', '간장': '2숟갈', '굴소스': '1숟갈', '맛술': '1숟갈', '다진마늘': '1숟갈', '후추': '약간'}",육류,"채소류,조미료","1.파스타면을 제일 먼저 삶습니다. 물을 넉넉하게 담아 끓여주시고 파스타를 넣어주세요. 7분 : 단단한 식감을 원할때 8분 : 쫄깃하고 탄력있는 식감 9분 : 부드럽고 통통한 면을 원할때,2.마늘은 편으로 썰고 양파도 적당히, 고추도 얇게 썰어주세요. 특히 고추는 얇게 썰어주셔야 입에서 겉돌지 않고 면에 착착 감깁니다.,3.간장 2숟갈, 굴소스 1숟갈, 맛술 1숟갈, 다진마늘 1숟갈, 후추약간을 넣어 소스를 만들어주세요. 다 삶아진 면은 건져서 올리브유를 살짝 넣어 비벼놓으시면 됩니다.,4.재료 준비가 끝났다면 기름을 두른팬에 마늘과 고추를 먼저 넣어 볶아 향을 내주세요. 그다음 양파도 넣어주세요.,5.차돌박이까지 넣어 반 정도 볶은뒤, 면을 넣고 미리 만들어둔 소스를 넣고 함께 볶아주시 면됩니다. 소스는 입맛에 따라 약간씩 넣으며 가감하세요.",볶음,30분 이내,초급,,,"채소류,육류,조미료"
14,마라바지락볶음,"{'바지락': '500g', '마늘': '40g', '쪽파': '20g', '베트남건고추': '15개', '하오츠마라소스': '1/2봉'}",해산물,"채소류,조미료","1.마늘은 다져주고, 쪽파는 5cm 길이로 잘라주세요~ 쪽파 대신 대파를 사용해주셔도 좋아요.^^,2.바지락은 해감 후 잘 씻어 준비하고, 물이 끓으면 바지락을 넣고 입을 벌리기 시작하면 건져줍니다. 시장이나 마트에 가지 않아도 온라인으로 쉽게 바지락을 구매 하실 수 있는데요. 보통 해감이 되어오지만, 2차로 집에서도 해감 해주시면 더 좋겠죠? 깨끗하게 씻어 소금물에 해감 한 뒤 끓는물에 넣어주세요~,3.달궈진 팬에 오일을 넣고 다진마늘과 건고추를 넣고 살짝 볶아줍니다. 마늘이 타지 않게 약불에서 볶아주세요~약불,4.바지락과 건고추를 넣고 하오츠 마라소스를 넣은 뒤 잘 볶아줍니다. 하오츠 마라소스가 바지락의 비린내를 말끔하게 잡아준답니다.^^약불,5.잘라둔 쪽파를 넣고 마무리 합니다. 마무리는 센 불에 휘리릭 볶아주세요. 바지락을 볶을 때 육수가 나오기 때문에 물을 따로 넣지 않으셔도 된답니다.^^센불",볶음,15분 이내,초급,,,"채소류,해산물,조미료"
15,새우 필라프,"{'대파': '1/2단', '양파': '1/2개', '애호박': '1/2개', '풋고추': '3개', '편마늘': '', '표고버섯': '3개', '새우': '취향껏', '버터': '1조각', '간장': '1큰술', '굴소스': '1큰술', '올리고당': '1큰술', '계란후라이': '', '마요네즈': ''}",채소류,"채소류,해산물,버섯류,유제품,난류,조미료","1.제일 먼저 재료들을 손질해줍니다. 대파를 송송송 썰어주세요.대파 1/2단,2.양파는 네모낳게 깍둑썰기 해줍니다.양파 1/2개,3.애호박은 십자썰기 해주세요.애호박 1/2개,4.풋고추는 미리 물에 깨끗이 씻어주시고 속을 정리해주세요. 그리고 양파와 비슷한 크기로 네모낳게 썰어줍니다.풋고추 3개풋고추 대신 파프리카나 피망도 괜찮습니다~,5.통마늘은 한 움큼정도 준비해주시고 얇게 편썰기 해주세요.편마늘계량을 하자면, 계량숟가락 기준으로 1큰술 정도라고 보시면 됩니다. 마늘을 좋아하시는 분이라면 더 많이 넣어주셔도 괜찮습니다!,6.표고버섯은 채썰기 해주세요.표고버섯 3개버섯 종류는 상관없습니다!,7.팬을 약불에 올려주신 뒤 버터 1조각을 넣어줍니다.버터 한조각팬약불,8.버터가 녹으면 대파와 마늘을 넣고대파 1/2단, 편마늘팬약불,9.버터에 볶아주세요.대파 1/2단, 편마늘팬약불,10.중간에 기름 1큰술 정도 넣어주세요.대파 1/2단, 편마늘, 기름 한 큰술팬약불,11.다시 잘 볶아줍니다대파 1/2단, 편마늘팬약불,12.마늘과 파의 향이 올라오고 색이 변하기 시작하면대파 1/2단, 편마늘팬약불,13.양파를 넣고 같이 볶아줍니다.양파 1/2개팬약불,14.양파의 색이 투명해질 때쯤,양파 1/2개팬약불,15.호박과 고추를 넣고 같이 볶아주세요.애호박 1/2개, 풋고추 3개팬약불,16.호박과 고추가 익어갈 때쯤,애호박 1/2개, 풋고추 3개팬약불,17.버섯과 새우를 넣고 볶아줍니다.표고버섯 3개, 새우팬약불,18.새우의 색이 붉어지면표고버섯 3개, 새우팬약불,19.밥을 넣고 볶아주세요.밥팬약불,20.뭉쳐있는 밥은 주걱을 이용해서 잘 펴주시면서 볶아주세요.밥팬약불,21.밥을 한 쪽면으로 밀어주신 뒤밥팬약불,22.팬의 바닥 면에 간장 1큰술을 넣고간장 1큰술팬약불,23.간장을 살짝 태워주세요.간장 1큰술팬약불,24.밥을 다시 잘 볶아줍니다.팬약불,25.굴소스 1큰술과굴소스 1큰술팬약불,26.올리고당 1큰술을 넣고 볶아주시면 완성입니다.올리고당 1큰술팬약불,27.마지막으로 계란 후라이와 마요네즈를 뿌려주시면 정말 완성이에요.",볶음,30분 이내,초급,,,"채소류,해산물,버섯류,유제품,난류,조미료"
16,비엔나 소세지강정,"{'비엔나소세지': '220g', '견과류': '약간', '식용유': '약간', '설탕': '1큰술', '진간장': '1큰술', '케찹': '1큰술', '다진마늘': '1/2큰술', '올리고당': '2큰술', '물': '2큰술'}",조리가공품류,"조미료,기타","1.먼저 양념은 위의 분량대로 미리 섞어서 만들어주세요 하면서 넣는것보다 미리 만들어둬야 훨씬 시간도 절약되고 편하답니다 :),2.저는 비엔나소세지 반쪽만 십자모양으로 칼집을 내줬는데요 꼭 십자모양이 아니더라도 원하시는 방향대로 내주셔도 상관없어요 ~,3.끓는물에 넣고 칼집이 조금 벌어질 정도로만 살짝 데쳐주세요 ~,4.기름에 튀겨야 하니깐 물기제거 꼭 해주시고요,5.팬에 기름을 적당히 붓고  데쳐준 소세지를 넣어 겉면이 살짝 바삭해질 정도로 튀겨주세요 오목한 팬에다 하시면 조금 더 편해요 :),6.소세지의 겉면이 살짝 바삭해졌다 싶을때 미리 만들어두었던 양념을 넣어주세요,7.비엔나소세지 위로 양념이 골고루 묻어나게 팬을 기울여 양념을 수저로 얹어주면서 졸여줬어요 오목한 팬에 했음 좀 더 수월한데 ㅠ 어쨌든 양념이 소세지에 골고루 묻어나면서 졸아들때까지 볶아주시면되고요,8.견과류를 위에 촥~ 뿌려주고 한번 더 볶아주시면 비엔나 소세지강정 완성 ~ 견과류는 선택사항이니 꼭 넣진 않으셔도 되는데 넣으시면 좀 더 고소한맛을 더하실수 있겠죠 ^^,9.비엔나소세지외에 다른 재료가 들어가지 않고 양념만 만들어주면 되니 더욱 간단하게 느껴지는데요 여기에 떡을 같이 넣어서 해먹어도 아주 맛있어요 ~ 떡을 같이 넣어주실땐 양념 비율을 좀 더 높게 잡아주시면 되고요 조금 더 매콤하게 드시고 싶다! 하시면 고추장을 조금 추가해서 만들어주세요",볶음,30분 이내,아무나,,,"조리가공품류,견과류,조미료,기타"
17,팽이버섯 베이컨 볶음,"{'팽이버섯': '1줌', '베이컨': '2줄', '대파': '1/4대', '식용유': '약간', '버터': '1조각', '굴소스': '1큰술'}","버섯류,조리가공품류","유제품,조미료","1.팽이버섯은 밑둥을 잘라내고 몇줄기씩 뜯어 주세요,2.베이컨은 채썰어 주세요.대파도 채 썰어 주세요,3.팬에 식용유를 두르고 대파를 넣고볶다가(1~2분 정도),4.베이컨을 넣고 볶아주세요(1~2분 정도),5.버터를 넣고,6.굴소스를 넣고,7.팽이버섯을 넣고 재빨리 볶아주세요.(1~2분 정도),8.완성접시에 담아주세요.",볶음,10분 이내,아무나,,,"채소류,버섯류,조리가공품류,유제품,조미료"
18,시금치양파계란볶음,"{'시금치': '1줌', '양파': '1/2개', '계란': '3개', '소금': '1작은술', '올리브유': '2큰술', '통깨': '조금'}","채소류,난류",조미료,"1.시금치한줌을 작은크기로 잘라주세요,2.양파 반개를 작게 썰어주세요,3.계란 3개를 깨서 잘섞어두세요,4.팬에 올리브유2큰술을 넣어주세요,5.시금치자른것과 양파자른것을 볶아주세요 *가스불은 중불입니다,6.양파가 투명해지면 풀어둔 계란물을 가운데쪽으로 부어주시고 소금 1작은술을 고루 뿌려주시고 살살 섞어가면서 볶아주세요,7.계란물이 익을정도로만 휘리릭 볶아주시고 통깨를 뿌려주시면 완성이네요,8.쉽고간단하게 만들수있지만 영양만점인 시금치양파계란볶음이 완성이 되었어요 바쁜아침식사대용이나 다이어트식에도 좋고 아이들반찬으로도 좋아요",볶음,10분 이내,아무나,,,"채소류,난류,조미료"
19,스팸감자볶음만들기,"{'감자(중간사이즈)': '2개', '스팸': '200g', '양파': '1/2개', '진간장': '2T', '물엿': '2T', '물': '3~4T', '식용유': '1T', '참기름': '1T'}","채소류,기타","채소류,조리가공품류,조미료,기타","1.감자(중간사이즈)두개를 깍뚝 썰어서 물에 담궈 주시구요~,2.스팸(200g짜리)이랑 양파반개도 마찬가지로 깍뚝 썰어 주세요~,3.끓는물에 감자를 2분간 데쳐 주시구요~,4.감자 데친물 그대로 스팸도 10초정도 담궈 첨가물을 빼주셔요^^,5.팬에 식용유한스푼, 참기름 한스푼 넣고 감자를 볶아 주시다가,6.양파를 넣고~ (당근을 넣으심 더이뻐요~당근을 넣으실땐 당근역시 1분정도 데쳐서 이때 넣어 주심 됩니다^^ 감자 데친 물그대로 감자->당근->스팸 순서로 데치심 되세요^^),7.스팸넣어 볶아 주세요^^ 타지 않게 중불로 볶아 주세요^~^,8.양파가 살짝 익었다 싶으실때 진간장2스푼,물3~4스푼,물엿2스푼 넣어서 볶으면서 졸여 주세요^~^,9.요렇게 국물이 없어지면 불을끄고 잔열로 감자를 익혀 주심 됩니다^~^ 너무 오래 볶으시면 감자가 다부서 질수 있어요^^,10.달달하면서 짭조름~~ 쏙쏙 골라먹는 재미가 굿이에용^~^  재료도 간단,방법도 간단 오늘 저녁 반찬으로 어떠세용^~^ ※감자 볶음과 맑은 감자국 바로 가기☞ @6866831 ",볶음,10분 이내,아무나,,,"채소류,조리가공품류,조미료,기타"
20,콩나물볶음밥,"{'밥': '2공기', '콩나물': '1줌', '대파': '1대', '양파': '1/2개', '김가루': '1줌', '참기름': '1숟가락', '통깨': '적당히', '고추장': '1스푼', '고춧가루': '1스푼', '굴소스': '1스푼', '간장': '1스푼', '설탕': '1스푼', '맛술': '1스푼', '다진마늘': '1/2스푼'}","채소류,곡류","채소류,조미료","1.콩나물을 깨끗하게 씻어 냄비에 담고 물을 넉넉히 채운 뒤 뚜껑을 덮고 약 6~7분 삶아주세요.아삭한 식감을 위해 뚜껑을 덮고 가스불을 끄기 직전까지 약 7분 삶기!,2.고추장 1, 고춧가루 1, 굴소스 1, 간장1, 설탕 1, 미림 1, 다진마늘 반스푼을 넣고 양념장을 만들어주세요.,3.삶아진 콩나물은 찬물에 헹궈 물기를 제거해주세요.,4.대파랑 양파를 채썰고 달군팬에 식용유를 두르고 달달 볶아주세요.,5.(선택재료) 새송이버섯과 분홍 소시지가 있어 넣어봤는데 정말 맛있었음!,6.잘 볶아진 야채에 밥을 넣어주세요.,7.양념장이 밥에 잘 섞이도록 뒤적뒤적!,8.콩나물 팍팍! 잘 볶아주세요.,9.참기름 쪼르륵~~김가루 듬뿍! 통깨로 마무리,10.노른자 톡~~달걀프라이 강추!",볶음,20분 이내,초급,,,"채소류,곡물전분류,조미료"
